# 	beta_0, 	beta_D, 	rho, 	p, 	c
0.625711 0.476565 0.443231 0.451688 0.017123
0.000140 0.798449 0.119120 0.533006 0.073037
0.843652 0.280488 0.099837 0.769143 0.008881
0.000681 0.292152 0.284704 0.573370 0.009811
0.657165 0.595254 0.109118 0.633809 0.025583
0.000701 0.383949 0.384646 0.418795 0.013087
0.694769 0.308176 0.132917 0.630159 0.007194
0.000045 0.333993 0.218674 0.621688 0.034854
0.851686 0.645366 0.388699 0.445026 0.015508
0.513031 0.367131 0.130677 0.633265 0.010959
0.938698 0.394176 0.304913 0.444924 0.010703
0.000211 0.202524 0.185017 0.640557 0.043688
0.852121 0.519575 0.269997 0.488605 0.009106
0.045179 0.189024 0.255839 0.532211 0.009402
0.889435 0.263629 0.290387 0.488173 0.009787
0.000053 0.172825 0.058939 0.906910 0.035727
0.769435 0.589909 0.102497 0.488380 0.062143
0.000370 0.390357 0.285319 0.545155 0.009170
0.936569 0.279752 0.428836 0.512418 0.015762
0.000180 0.371007 0.205558 0.766091 0.021020
0.772597 0.376024 0.130692 0.772038 0.009185
0.013180 0.504162 0.320041 0.454374 0.012860
1.038469 0.389347 0.274795 0.745052 0.029321
0.000585 0.274129 0.381562 0.443596 0.013191
0.859831 0.703482 0.314857 0.588390 0.012904
0.000440 0.120895 0.220569 0.586277 0.008332
0.915183 0.997429 0.301737 0.404741 0.012412
0.000106 0.097710 0.120488 0.857809 0.032988
0.704094 0.721969 0.299984 0.588152 0.005438
0.000343 0.188565 0.225391 0.621314 0.008271
0.602428 0.581516 0.388774 0.428781 0.013982
0.000564 0.377701 0.331500 0.490714 0.011720
0.932600 0.434801 0.280985 0.566799 0.008634
0.000980 0.338440 0.429366 0.492200 0.014977
0.726603 0.344178 0.130652 0.631407 0.008461
0.001069 0.827161 0.352566 0.444856 0.012477
0.895097 0.936393 0.237616 0.644105 0.012515
0.246958 0.187270 0.230009 0.524230 0.008012
0.674164 0.919036 0.130861 0.537489 0.045262
0.000931 0.623702 0.435504 0.428978 0.016176
0.640554 0.434080 0.107708 0.628301 0.032989
0.000768 0.695708 0.216209 0.677176 0.008627
0.639681 0.456216 0.129949 0.623478 0.012067
0.000566 0.406693 0.380197 0.538723 0.013283
0.939449 0.795622 0.366911 0.423716 0.014003
0.000069 0.708710 0.061961 0.599552 0.086065
0.879237 0.334459 0.324524 0.475564 0.011599
0.044598 0.315515 0.446506 0.448229 0.016514
0.958169 0.371386 0.303406 0.513348 0.008651
0.000018 0.367672 0.114667 0.661857 0.010408
0.875863 0.455708 0.163597 0.798129 0.027777
0.000363 0.351773 0.276103 0.663562 0.010531
1.128515 0.863223 0.243906 0.621688 0.038875
0.000106 0.336477 0.114370 0.592876 0.008151
0.891549 0.926170 0.232403 0.584793 0.010010
0.000238 0.385446 0.333914 0.582366 0.019258
1.169624 0.340932 0.213185 0.810075 0.007756
0.002353 0.188112 0.254209 0.545230 0.008965
0.656121 0.526110 0.095477 0.612801 0.049073
0.000075 0.378335 0.130203 0.772038 0.009151
0.711074 0.314699 0.325151 0.460214 0.012822
0.000081 0.610284 0.068916 0.535244 0.034311
0.999089 0.595876 0.052571 0.889665 0.043348
0.000218 0.090847 0.135034 0.622931 0.004799
1.127161 0.387942 0.236699 0.766091 0.024204
0.000286 0.643874 0.057202 0.604851 0.058174
0.124032 0.217298 0.331235 0.640557 0.078214
0.000766 0.226458 0.273380 0.555060 0.009541
0.711591 0.453308 0.124809 0.776764 0.018317
0.000009 0.821668 0.150785 0.537489 0.052153
0.311857 0.518332 0.410725 0.462204 0.016079
0.000010 0.400823 0.095173 0.671588 0.025032
0.754811 0.660285 0.294265 0.636797 0.013041
0.000026 0.510266 0.115002 0.610073 0.055093
0.912436 0.872515 0.226375 0.506309 0.008615
0.000029 0.350636 0.121122 0.631407 0.007844
0.657976 0.358526 0.127312 0.661857 0.011556
0.000511 0.215297 0.355995 0.566509 0.013375
0.679540 0.617007 0.129861 0.510204 0.052220
0.000833 0.676912 0.313454 0.469558 0.010561
0.961197 0.414226 0.317996 0.516633 0.010753
0.000740 0.196967 0.364239 0.505414 0.012359
0.874015 0.288924 0.343713 0.498253 0.012467
0.001123 0.258027 0.311235 0.612122 0.011448
0.325249 0.534540 0.311839 0.550155 0.007637
0.000504 0.168293 0.312279 0.606435 0.011332
0.314354 0.401550 0.411997 0.501118 0.017173
0.000443 0.322384 0.429700 0.414915 0.014981
1.035333 0.882774 0.272415 0.574880 0.010807
0.000227 0.134031 0.201096 0.652605 0.006011
0.878149 0.897273 0.308792 0.468159 0.012121
0.000098 0.346427 0.118861 0.630159 0.006433
0.651896 0.302485 0.135760 0.596559 0.024026
0.000191 0.097389 0.155232 0.585560 0.005918
0.000038 0.096221 0.149212 0.742360 0.040338
0.000000 0.107045 0.186560 0.674996 0.007505
0.000040 0.192384 0.259922 0.745052 0.027734
0.000019 0.391769 0.115239 0.660518 0.001932
0.070108 0.417058 0.328780 0.522521 0.011963
0.000073 0.329493 0.115912 0.645738 0.014754
